Code,Title,Dept,Level,A,B,C,D,F,FX,Pass,Not pass,IP,W,Total,#VALUE!,Gender,Semester,Year,teacher_id
CSS 410,Research tools and methods,ENG,0.0,122.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,138.0,88.4%   3.6%   0%   0%   8%,0,1,2021,26
CSS 411,Advanced Programming using JAVA EE,ENG,0.0,4.0,10.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,28.0,14.3%   35.7%   10.7%   14.3%   25%,0,1,2021,8
CSS 415,IT Management,ENG,0.0,33.0,48.0,22.0,5.0,2.0,10.0,0.0,0.0,0.0,1.0,121.0,27.3%   39.7%   18.2%   4.1%   9.9%,1,1,2021,27
CSS 437,Game Development,ENG,0.0,13.0,11.0,13.0,7.0,2.0,19.0,0.0,0.0,0.0,0.0,65.0,20%   16.9%   20%   10.8%   32.3%,0,1,2021,28
CSS 440,Distributed Computing,ENG,0.0,7.0,6.0,10.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,35.0,20%   17.1%   28.6%   8.6%   25.7%,0,1,2021,16
CSS 507,"Data Сollection, Wrangling, Analysis and Visualization",ENG,1.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,70%   20%   0%   0%   10%,1,1,2021,29
CSS 507,"Data Сollection, Wrangling, Analysis and Visualization",ENG,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,10%   20%   30%   10%   20%,1,1,2021,30
CSS 524,Networking in IoT,ENG,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0%   20%   20%   20%   0%,0,1,2021,31
CSS 528,Algorithms and Competitive Programming,ENG,1.0,1.0,2.0,3.0,1.0,2.0,9.0,0.0,0.0,0.0,4.0,22.0,4.5%   9.1%   13.6%   4.5%   50%,0,1,2021,32
CSS 528,Algorithms and Competitive Programming,ENG,1.0,12.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,40%   40%   16.7%   0%   3.3%,0,1,2021,33
CSS 542,Introduction to Cyber Security,ENG,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100%   0%   0%   0%   0%,0,1,2021,13
CSS 592,Pedagogical practice in High Education Department,ENG,,,,,,,,,,,,,,1,1,2021,25
CSS 609,Models and algorithms for pattern recognition,ENG,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,40%   50%   0%   0%   10%,0,1,2021,34
CSS 613,RedHat - System Administration (III + OpenStack),ENG,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,33.3%   33.3%   0%   0%   33.3%,0,1,2021,35
CSS 615,Big Data Analytics,ENG,1.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,14.3%   28.6%   0%   14.3%   42.9%,0,1,2021,36
CSS 619,Natural Language Processing,ENG,0.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,20%   30%   30%   0%   20%,0,1,2021,37
CSS 633,Machine Learning,ENG,1.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,27.3%   36.4%   0%   0%   36.4%,1,1,2021,29
CSS 633,Machine Learning,ENG,1.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,35.3%   47.1%   5.9%   5.9%   5.9%,0,1,2021,38
CSS 652,Research Methodology and Practice,ENG,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,20%   0%   40%   0%   40%,1,1,2021,30
CSS 690,Research practice,ENG,0.0,28.0,12.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,49.0,57.1%   24.5%   4.1%   4.1%   10.2%,1,1,2021,25
CSS 705,Academic Writing,ENG,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3%   66.7%   0%   0%   0%,0,1,2021,39
CSS 705,Academic Writing,ENG,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,28.6%   57.1%   0%   0%   14.3%,0,1,2021,40
CSS 783,Pedagogical practice in Higher Education,ENG,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.7%   33.3%   0%   0%   0%,1,1,2021,12
ECO 111,Mathematics for Economics 2,BS,0.0,17.0,38.0,30.0,16.0,17.0,15.0,0.0,0.0,0.0,0.0,133.0,12.8%   28.6%   22.6%   12%   24.1%,0,1,2021,41
ECO 111,Mathematics for Economics 2,BS,0.0,7.0,5.0,5.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,28.0,25%   17.9%   17.9%   28.6%   10.7%,0,1,2021,42
ECO 111,Mathematics for Economics 2,BS,0.0,15.0,17.0,22.0,34.0,9.0,41.0,0.0,0.0,0.0,0.0,138.0,10.9%   12.3%   15.9%   24.6%   36.2%,1,1,2021,43
ECO 113,Economic Theory,BS,1.0,16.0,43.0,34.0,25.0,20.0,27.0,0.0,0.0,0.0,0.0,165.0,9.7%   26.1%   20.6%   15.2%   28.5%,1,1,2021,44
ECO 113,Economic Theory,BS,0.0,22.0,23.0,28.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,88.0,25%   26.1%   31.8%   11.4%   5.7%,1,1,2021,45
ECO 113,Economic Theory,BS,1.0,17.0,7.0,7.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,44.0,38.6%   15.9%   15.9%   18.2%   11.4%,0,1,2021,46
ECO 198,Educational practice,BS,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,100%   0%   0%   0%   0%,1,1,2021,45
ECO 198,Educational practice,BS,0.0,62.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,67.0,92.5%   1.5%   0%   0%   4.5%,1,1,2021,47
ECO 198,Educational practice,BS,0.0,52.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,55.0,94.5%   1.8%   0%   0%   3.6%,1,1,2021,43
ECO 198,Educational practice,BS,0.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,46.0,87%   0%   0%   0%   10.9%,1,1,2021,48
ECO 203,Statistics - I,BS,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3%   66.7%   0%   0%   0%,0,1,2021,49
ECO 208,Macroeconomics (CIMA),BS,0.0,5.0,9.0,7.0,12.0,3.0,10.0,0.0,0.0,0.0,0.0,46.0,10.9%   19.6%   15.2%   26.1%   28.3%,1,1,2021,50
ECO 208,Macroeconomics (CIMA),BS,0.0,20.0,22.0,38.0,58.0,8.0,11.0,0.0,0.0,0.0,0.0,157.0,12.7%   14%   24.2%   36.9%   12.1%,1,1,2021,51
ECO 209,Macroeconomics (CFA),BS,0.0,4.0,7.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,22.0,18.2%   31.8%   18.2%   18.2%   13.6%,1,1,2021,50
ECO 212,Statistics - II,BS,1.0,23.0,22.0,22.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,22.5%   21.6%   21.6%   33.3%   1%,1,1,2021,52
ECO 212,Statistics - II,BS,0.0,30.0,30.0,18.0,25.0,3.0,15.0,0.0,0.0,0.0,0.0,121.0,24.8%   24.8%   14.9%   20.7%   14.9%,1,1,2021,53
ECO 318,Introduction to machine learning,BS,0.0,7.0,11.0,14.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,54.0,13%   20.4%   25.9%   20.4%   20.4%,0,1,2021,54
ECO 318,Introduction to machine learning,BS,0.0,6.0,15.0,16.0,27.0,8.0,18.0,0.0,0.0,0.0,0.0,90.0,6.7%   16.7%   17.8%   30%   28.9%,1,1,2021,55
ECO 520,Macroeconomic analysis,BS,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100%   0%   0%   0%   0%,0,1,2021,56
ECO 560,Data Analysis,BS,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100%   0%   0%   0%   0%,0,1,2021,56
ECO 590,Pedagogical practice,BS,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,78.6%   21.4%   0%   0%   0%,1,1,2021,57
ECO 601,Agricultural Economics,BS,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25%   0%   75%   0%   0%,0,1,2021,58
ECO 682,Registration and protection of master's dissertation,BS,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,72.7%   18.2%   0%   9.1%   0%,1,1,2021,57
ECO 688,Research Practice,BS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0%   0%   0%   0%   0%,1,1,2021,57
FFA 246,Language system and structure,PED,1.0,14.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,25.0,56%   24%   8%   0%   12%,1,1,2021,59
FFA 319,Stylistic text analysis,PED,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75%   16.7%   8.3%   0%   0%,1,1,2021,59
FFA 412,Professional practice,PED,0.0,38.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,95%   2.5%   0%   2.5%   0%,1,1,2021,60
FIN 202,Financial Accounting,BS,0.0,41.0,40.0,22.0,21.0,4.0,15.0,0.0,0.0,0.0,0.0,143.0,28.7%   28%   15.4%   14.7%   13.3%,1,1,2021,61
FIN 202,Financial Accounting,BS,0.0,33.0,29.0,14.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,90.0,36.7%   32.2%   15.6%   12.2%   3.3%,1,1,2021,62
FIN 204,Accounting according to IFRS (ACCA),BS,0.0,2.0,1.0,6.0,9.0,3.0,36.0,0.0,0.0,0.0,0.0,57.0,3.5%   1.8%   10.5%   15.8%   68.4%,0,1,2021,63
FIN 208,Finance,BS,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50%   0%   0%   50%   0%,0,1,2021,63
FIN 212,Finance,BS,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.7%   0%   0%   33.3%   0%,0,1,2021,63
FIN 302,Corporate Finance (CIMA),BS,1.0,1.0,1.0,2.0,9.0,5.0,37.0,0.0,0.0,0.0,0.0,55.0,1.8%   1.8%   3.6%   16.4%   76.4%,0,1,2021,64
FIN 303,Fundamentals of Financial Management,BS,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100%   0%   0%   0%   0%,0,1,2021,58
FIN 304,Equity Investments (CFA),BS,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,96.9%   0%   0%   0%   3.1%,0,1,2021,63
FIN 306,Managerial Accounting (ACCA),BS,0.0,0.0,4.0,4.0,20.0,9.0,48.0,0.0,0.0,0.0,0.0,85.0,0%   4.7%   4.7%   23.5%   67.1%,1,1,2021,65
FIN 316,Corporate Finance (CFA),BS,1.0,4.0,1.0,4.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,27.0,14.8%   3.7%   14.8%   7.4%   59.3%,0,1,2021,64
FIN 405,Financial Management (ACCA),BS,1.0,0.0,1.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0,0%   7.7%   23.1%   30.8%   38.5%,0,1,2021,49
FIN 504,Quantitative Portfolio Analysis,BS,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0%   37.5%   50%   0%   12.5%,0,1,2021,66
FIN 506,Introduction to Data Mining,BS,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,50%   37.5%   0%   0%   12.5%,0,1,2021,66
FIN 508,AI for Fintech,BS,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,37.5%   25%   25%   0%   12.5%,0,1,2021,54
FIN 512,Machine learning,BS,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,50%   37.5%   0%   0%   12.5%,0,1,2021,66
FIN 524,Experimental Research Work of Master Student-2,BS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,9.0,0%   0%   0%   0%   0%,0,1,2021,49
FPH 201,Highlights of Western Literature,PED,0.0,1.0,3.0,12.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,34.0,2.9%   8.8%   35.3%   26.5%   26.5%,0,1,2021,67
HIS 404,Industrial Practice,LAW,1.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,61.1%   22.2%   16.7%   0%   0%,1,1,2021,68
HPE 110,Ancient and medieval history of Asian and African countries,LAW,1.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,71.4%   21.4%   0%   0%   7.1%,0,1,2021,69
HPE 111,Archeology,PED,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,50%   50%   0%   0%   0%,0,1,2021,69
HPE 114,Educational practice (Archeology),PED,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75%   25%   0%   0%   0%,0,1,2021,69
INF 101,Information and Communication Technologies,ENG,0.0,4.0,18.0,66.0,56.0,21.0,22.0,0.0,0.0,0.0,0.0,187.0,2.1%   9.6%   35.3%   29.9%   23%,0,1,2021,70
INF 106,Information and Communications Technologies (Computer Science),ENG,0.0,13.0,31.0,55.0,37.0,10.0,19.0,0.0,0.0,0.0,0.0,165.0,7.9%   18.8%   33.3%   22.4%   17.6%,1,1,2021,71
INF 106,Information and Communications Technologies (Computer Science),ENG,0.0,4.0,32.0,58.0,62.0,16.0,16.0,0.0,0.0,0.0,0.0,188.0,2.1%   17%   30.9%   33%   17%,1,1,2021,72
INF 106,Information and Communications Technologies (Computer Science),ENG,0.0,5.0,18.0,29.0,12.0,8.0,6.0,0.0,0.0,0.0,0.0,78.0,6.4%   23.1%   37.2%   15.4%   17.9%,1,1,2021,73
INF 106,Information and Communications Technologies (Computer Science),ENG,0.0,32.0,44.0,40.0,31.0,7.0,22.0,0.0,0.0,0.0,0.0,176.0,18.2%   25%   22.7%   17.6%   16.5%,1,1,2021,74
INF 190,Educational practice,ENG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100%   0%   0%   0%   0%,1,1,2021,75
INF 202,Database Management Systems 1,ENG,1.0,1.0,9.0,6.0,1.0,3.0,18.0,0.0,0.0,0.0,0.0,38.0,2.6%   23.7%   15.8%   2.6%   55.3%,1,1,2021,12
INF 232,Web programming: back end,ENG,0.0,41.0,5.0,13.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,73.0,56.2%   6.8%   17.8%   13.7%   5.5%,0,1,2021,76
INF 232,Web programming: back end,ENG,0.0,32.0,27.0,28.0,13.0,4.0,15.0,0.0,0.0,0.0,1.0,120.0,26.7%   22.5%   23.3%   10.8%   15.8%,0,1,2021,77
INF 232,Web programming: back end,ENG,0.0,38.0,82.0,58.0,16.0,4.0,26.0,0.0,0.0,0.0,0.0,224.0,17%   36.6%   25.9%   7.1%   13.4%,0,1,2021,78
INF 261,Game Physics,ENG,0.0,25.0,6.0,40.0,34.0,10.0,15.0,0.0,0.0,0.0,0.0,130.0,19.2%   4.6%   30.8%   26.2%   19.2%,0,1,2021,79
INF 305,Database Management Systems 2,ENG,0.0,25.0,146.0,153.0,70.0,8.0,22.0,0.0,0.0,0.0,1.0,425.0,5.9%   34.4%   36%   16.5%   7.1%,1,1,2021,11
INF 313,Computer networks 1,ENG,0.0,6.0,29.0,43.0,19.0,13.0,15.0,0.0,0.0,0.0,1.0,126.0,4.8%   23%   34.1%   15.1%   22.2%,0,1,2021,80
INF 313,Computer networks 1,ENG,1.0,16.0,23.0,70.0,61.0,45.0,90.0,0.0,0.0,0.0,5.0,310.0,5.2%   7.4%   22.6%   19.7%   43.5%,1,1,2021,24
INF 313,Computer networks 1,ENG,0.0,9.0,22.0,36.0,21.0,17.0,18.0,0.0,0.0,0.0,3.0,126.0,7.1%   17.5%   28.6%   16.7%   27.8%,1,1,2021,75
INF 313,Computer networks 1,ENG,0.0,9.0,123.0,28.0,17.0,0.0,6.0,0.0,0.0,0.0,2.0,185.0,4.9%   66.5%   15.1%   9.2%   3.2%,0,1,2021,81
INF 324,Computer vision,ENG,0.0,1.0,4.0,12.0,3.0,9.0,27.0,0.0,0.0,0.0,1.0,57.0,1.8%   7%   21.1%   5.3%   63.2%,0,1,2021,82
INF 328,3D modeling,ENG,0.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25%   50%   25%   0%   0%,0,1,2021,83
INF 332,Enterprise Architecture,ENG,0.0,235.0,49.0,16.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,336.0,69.9%   14.6%   4.8%   0%   10.4%,0,1,2021,84
INF 335,Design Patterns,ENG,1.0,5.0,14.0,4.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,34.0,14.7%   41.2%   11.8%   11.8%   20.6%,0,1,2021,85
INF 337,Deep Learning,ENG,0.0,2.0,4.0,1.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,31.0,6.5%   12.9%   3.2%   25.8%   51.6%,0,1,2021,3
INF 345,Fundamentals of DevOps,ENG,1.0,11.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,17.5%   81%   0%   0%   1.6%,0,1,2021,86
INF 349,3D animation and visual effects,ENG,0.0,12.0,0.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,24.0,50%   0%   8.3%   12.5%   29.2%,1,1,2021,87
INF 357,Introduction to Unity programming,ENG,0.0,6.0,7.0,10.0,11.0,1.0,8.0,0.0,0.0,0.0,0.0,43.0,14%   16.3%   23.3%   25.6%   20.9%,0,1,2021,28
INF 362,Design for Manufacture,ENG,0.0,64.0,44.0,19.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,136.0,47.1%   32.4%   14%   1.5%   5.1%,1,1,2021,87
INF 363,Advanced VFX and Post Production,ENG,0.0,4.0,12.0,32.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,69.0,5.8%   17.4%   46.4%   5.8%   24.6%,0,1,2021,83
INF 368,The Go programming language,ENG,0.0,17.0,15.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,51.0,33.3%   29.4%   17.6%   0%   19.6%,0,1,2021,88
INF 370,User Interface Design,ENG,0.0,47.0,42.0,11.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,109.0,43.1%   38.5%   10.1%   2.8%   5.5%,0,1,2021,89
INF 376,Natural Language Processing,ENG,0.0,41.0,16.0,13.0,13.0,1.0,14.0,0.0,0.0,0.0,0.0,98.0,41.8%   16.3%   13.3%   13.3%   15.3%,1,1,2021,90
INF 378,AWS Cloud Computing,ENG,0.0,12.0,25.0,19.0,19.0,3.0,9.0,0.0,0.0,0.0,0.0,87.0,13.8%   28.7%   21.8%   21.8%   13.8%,0,1,2021,10
INF 392,Blockchain technology,ENG,0.0,17.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,50%   35.3%   14.7%   0%   0%,0,1,2021,91
INF 405,Personal Development in Computer Science,ENG,0.0,5.0,17.0,20.0,19.0,7.0,48.0,0.0,0.0,0.0,0.0,116.0,4.3%   14.7%   17.2%   16.4%   47.4%,0,1,2021,9
IRN 116,Module of Social and Political Knowledge (Political Science),LAW,1.0,23.0,8.0,6.0,10.0,11.0,9.0,0.0,0.0,0.0,0.0,67.0,34.3%   11.9%   9%   14.9%   29.9%,1,1,2021,92
IRN 128,Human Rights,LAW,1.0,66.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,70.0,94.3%   0%   1.4%   0%   4.3%,0,1,2021,93
IRN 198,Educational practice,LAW,0.0,52.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,69.0,75.4%   14.5%   0%   0%   10.1%,0,1,2021,94
IRN 201,Modern History of International Relations,LAW,1.0,23.0,14.0,20.0,11.0,3.0,5.0,0.0,0.0,0.0,0.0,76.0,30.3%   18.4%   26.3%   14.5%   10.5%,0,1,2021,95
IRN 203,International (Public) Law,LAW,0.0,5.0,3.0,2.0,14.0,4.0,8.0,0.0,0.0,0.0,0.0,36.0,13.9%   8.3%   5.6%   38.9%   33.3%,1,1,2021,96
IRN 208,International Organizations,LAW,1.0,19.0,15.0,17.0,20.0,4.0,3.0,0.0,0.0,0.0,0.0,78.0,24.4%   19.2%   21.8%   25.6%   9%,0,1,2021,95
IRN 223,Geopolitics and Eurasian Integration,LAW,0.0,14.0,10.0,12.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,48.0,29.2%   20.8%   25%   16.7%   8.3%,1,1,2021,97
IRN 306,Diplomatic Protocol and Documentation,LAW,1.0,7.0,4.0,9.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,42.0,16.7%   9.5%   21.4%   21.4%   31%,0,1,2021,98
IRN 308,Foreign Language of Specialization - II (French European),LAW,0.0,3.0,5.0,8.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,26.0,11.5%   19.2%   30.8%   15.4%   23.1%,1,1,2021,99
IRN 311,Multilateral Diplomacy,LAW,1.0,7.0,0.0,6.0,8.0,4.0,17.0,0.0,0.0,0.0,0.0,42.0,16.7%   0%   14.3%   19%   50%,0,1,2021,98
