Code,Subject,Dept,Level,A,B,C,D,FX,F,Pass,Not Pass,IP,W,Total,%,Gender,Semester,Year,teacher_id
CSS 450,Industrial project (Introduction) all,ENG,0,19,5,0,0,0,0,0,0,0,0,24,79.2%   20.8%   0%   0%   0%,1,1,2023,549
CSS 463,Internship 3,ENG,0,3,0,0,0,0,2,0,0,0,0,5,60%   0%   0%   0%   40%,1,1,2023,549
CSS 465,Project Management,ENG,0,5,10,8,14,2,5,0,0,0,0,44,11.4%   22.7%   18.2%   31.8%   15.9%,1,1,2023,20
CSS 465,Project Management,ENG,0,55,15,6,1,0,2,0,0,0,0,79,69.6%   19%   7.6%   1.3%   2.5%,0,1,2023,26
CSS 480,Industrial practice 3,ENG,0,380,10,2,0,0,28,0,0,0,0,420,90.5%   2.4%   0.5%   0%   6.7%,0,1,2023,414
CSS 480,Industrial practice 3,ENG,0,82,10,0,0,0,4,0,0,0,0,96,85.4%   10.4%   0%   0%   4.2%,1,1,2023,549
CSS 493,Diploma defence,ENG,1,0,12,4,0,0,0,0,0,0,0,16,0%   75%   25%   0%   0%,0,1,2023,85
ECO 103,Mathematics for Economics,BS,0,6,11,5,12,9,14,0,0,0,3,60,10%   18.3%   8.3%   20%   38.3%,0,1,2023,42
ECO 103,Mathematics for Economics,BS,0,25,18,8,20,0,12,0,0,0,8,91,27.5%   19.8%   8.8%   22%   13.2%,0,1,2023,41
ECO 103,Mathematics for Economics,BS,0,4,10,12,13,7,15,0,0,0,2,63,6.3%   15.9%   19%   20.6%   34.9%,0,1,2023,410
ECO 103,Mathematics for Economics,BS,0,28,28,11,11,3,7,0,0,0,1,89,31.5%   31.5%   12.4%   12.4%   11.2%,0,1,2023,552
ECO 113,Economic Theory,BS,1,18,46,33,27,9,16,0,0,0,2,151,11.9%   30.5%   21.9%   17.9%   16.6%,1,1,2023,44
ECO 113,Economic Theory,BS,0,22,51,29,6,4,9,0,0,0,0,121,18.2%   42.1%   24%   5%   10.7%,1,1,2023,399
ECO 203,Statistics - I,BS,0,12,12,24,15,1,11,0,0,0,1,76,15.8%   15.8%   31.6%   19.7%   15.8%,1,1,2023,400
ECO 203,Statistics - I,BS,0,16,17,10,19,0,10,0,0,0,0,72,22.2%   23.6%   13.9%   26.4%   13.9%,0,1,2023,552
ECO 203,Statistics - I,BS,0,14,22,18,9,4,8,0,0,0,0,75,18.7%   29.3%   24%   12%   16%,1,1,2023,53
ECO 204,Public Finance,BS,0,1,4,2,2,0,0,0,0,0,0,9,11.1%   44.4%   22.2%   22.2%   0%,1,1,2023,497
ECO 205,Microeconomics (CFA),BS,0,4,26,17,12,2,6,0,0,0,0,67,6%   38.8%   25.4%   17.9%   11.9%,1,1,2023,50
ECO 215,Microeconomics CIMA,BS,0,7,23,19,19,18,19,0,0,0,1,106,6.6%   21.7%   17.9%   17.9%   34.9%,1,1,2023,398
ECO 215,Microeconomics CIMA,BS,0,3,11,14,14,2,6,0,0,0,0,50,6%   22%   28%   28%   16%,1,1,2023,50
ECO 303,International Economics,BS,1,1,4,2,2,0,0,0,0,0,0,9,11.1%   44.4%   22.2%   22.2%   0%,1,1,2023,146
ECO 315,Introduction to Python,BS,0,14,35,34,25,5,20,0,0,0,2,135,10.4%   25.9%   25.2%   18.5%   18.5%,1,1,2023,55
ECO 315,Introduction to Python,BS,0,24,30,37,23,8,6,0,0,0,1,129,18.6%   23.3%   28.7%   17.8%   10.9%,0,1,2023,54
ECO 323,Economic History,BS,0,3,3,2,2,0,0,0,0,0,0,10,30%   30%   20%   20%   0%,0,1,2023,366
ECO 407,Environmental Economics,BS,0,8,2,0,0,0,0,0,0,0,0,10,80%   20%   0%   0%   0%,0,1,2023,366
ECO 415,Business Career I,BS,0,11,0,0,0,0,0,0,0,0,0,11,100%   0%   0%   0%   0%,1,1,2023,148
ECO 495,Final Attestation,BS,0,0,2,3,1,0,2,0,0,0,0,8,0%   25%   37.5%   12.5%   25%,1,1,2023,57
FFA 222,Fundamentals of Linguistics,PED,0,95,107,57,21,28,28,0,0,0,11,347,27.4%   30.8%   16.4%   6.1%   16.1%,1,1,2023,553
FFA 323,Fundamentals of editing,PED,0,5,7,7,2,0,2,0,0,0,1,24,20.8%   29.2%   29.2%   8.3%   8.3%,1,1,2023,287
FFA 432,Thesis defense,PED,0,0,0,1,0,0,0,0,0,0,0,1,0%   0%   100%   0%   0%,1,1,2023,533
FFA 434,Professional Practicum,PED,0,0,1,0,0,0,0,0,0,0,0,1,0%   100%   0%   0%   0%,1,1,2023,533
FFA 436,Pre-graduation practicum / Internship,PED,0,0,1,0,0,0,0,0,0,0,0,1,0%   100%   0%   0%   0%,1,1,2023,533
FFA 438,Diploma writing and defence,PED,0,0,0,1,0,0,0,0,0,0,0,1,0%   0%   100%   0%   0%,1,1,2023,533
FIN 303,Fundamentals of Financial Management,BS,1,10,37,35,16,0,9,0,0,0,1,108,9.3%   34.3%   32.4%   14.8%   8.3%,1,1,2023,401
FIN 303,Fundamentals of Financial Management,BS,0,1,13,16,12,3,8,0,0,0,1,54,1.9%   24.1%   29.6%   22.2%   20.4%,1,1,2023,61
FIN 303,Fundamentals of Financial Management,BS,0,13,19,31,35,7,13,0,0,0,2,120,10.8%   15.8%   25.8%   29.2%   16.7%,1,1,2023,405
FIN 307,Cost Accounting (ACCA),BS,0,14,21,37,36,10,35,0,0,0,4,157,8.9%   13.4%   23.6%   22.9%   28.7%,1,1,2023,554
FIN 307,Cost Accounting (ACCA),BS,0,6,19,8,12,3,4,0,0,0,1,53,11.3%   35.8%   15.1%   22.6%   13.2%,1,1,2023,65
FIN 308,Portfolio Management (CFA),BS,0,25,11,18,24,0,12,0,0,0,1,91,27.5%   12.1%   19.8%   26.4%   13.2%,0,1,2023,63
FIN 317,Fixed Income Securities (CFA),BS,0,18,18,12,11,0,2,0,0,0,0,61,29.5%   29.5%   19.7%   18%   3.3%,0,1,2023,63
FIN 401,Labor economics,BS,0,5,2,3,0,0,0,0,0,0,0,10,50%   20%   30%   0%   0%,1,1,2023,399
FIN 402,1 C Accounting,BS,1,9,10,15,7,0,4,0,0,0,0,45,20%   22.2%   33.3%   15.6%   8.9%,1,1,2023,1
FIN 405,Financial Management (ACCA),BS,0,58,86,7,2,0,5,0,0,0,0,158,36.7%   54.4%   4.4%   1.3%   3.2%,0,1,2023,555
FPH 201,Highlights of Western Literature,PED,0,19,32,39,27,20,14,0,0,0,3,154,12.3%   20.8%   25.3%   17.5%   22.1%,0,1,2023,67
HPE 105,Ancient and medieval history of Kazakhstan,PED,0,10,26,16,0,0,0,0,0,0,0,52,19.2%   50%   30.8%   0%   0%,0,1,2023,218
HPE 113,Educational practice,PED,1,52,0,0,0,0,0,0,0,0,0,52,100%   0%   0%   0%   0%,1,1,2023,556
HPE 119,Pedagogy,PED,1,9,29,8,0,0,0,0,0,0,0,46,19.6%   63%   17.4%   0%   0%,1,1,2023,556
HPE 209,The new history of Kazakhstan,PED,0,6,9,1,0,0,0,0,0,0,0,16,37.5%   56.3%   6.3%   0%   0%,0,1,2023,218
HPE 210,New and modern history of the countries of Europe and America,PED,0,9,6,1,0,0,0,0,0,0,0,16,56.3%   37.5%   6.3%   0%   0%,1,1,2023,507
HPE 211,Medieval history of Asia and Africa,PED,0,9,6,1,0,0,0,0,0,0,0,16,56.3%   37.5%   6.3%   0%   0%,1,1,2023,507
HPE 212,Historical stages of the jadit enlightenment in Turkestan,PED,0,2,7,3,0,0,0,0,0,0,0,12,16.7%   58.3%   25%   0%   0%,0,1,2023,218
HPE 213,History of medieval Europe,PED,0,5,9,2,0,0,0,0,0,0,0,16,31.3%   56.3%   12.5%   0%   0%,0,1,2023,218
HPE 217,Professional oriented foreign language,PED,0,6,10,0,0,0,0,0,0,0,0,16,37.5%   62.5%   0%   0%   0%,0,1,2023,557
HPE 301,Archives and museums,PED,0,2,7,3,0,0,0,0,0,0,0,12,16.7%   58.3%   25%   0%   0%,1,1,2023,507
HPE 303,Archives and museums (educational practice),PED,0,6,6,0,0,0,0,0,0,0,0,12,50%   50%   0%   0%   0%,1,1,2023,507
HPE 315,Social structure of Kazakh society,PED,1,3,3,5,0,0,1,0,0,0,0,12,25%   25%   41.7%   0%   8.3%,1,1,2023,68
HPE 319,Methods of teaching history based update education,PED,0,3,5,4,0,0,0,0,0,0,0,12,25%   41.7%   33.3%   0%   0%,0,1,2023,558
HPE 322,20th-21st century international global problems,PED,0,5,6,1,0,0,0,0,0,0,0,12,41.7%   50%   8.3%   0%   0%,1,1,2023,507
INF 106,Information and Communication Technologies,ENG,0,25,91,51,21,5,12,0,0,0,0,205,12.2%   44.4%   24.9%   10.2%   8.3%,1,1,2023,386
INF 106,Information and Communication Technologies,ENG,0,45,163,120,34,9,23,0,0,0,1,395,11.4%   41.3%   30.4%   8.6%   8.1%,0,1,2023,409
INF 201,"Software Architecture, Quality, Verification, Validation and Design",ENG,0,100,128,42,24,0,44,0,0,0,2,340,29.4%   37.6%   12.4%   7.1%   12.9%,0,1,2023,76
INF 202,Database Management Systems 1,ENG,0,82,107,84,38,4,58,0,0,0,2,375,21.9%   28.5%   22.4%   10.1%   16.5%,0,1,2023,16
INF 228,UX/UI design,ENG,0,24,24,19,10,0,7,0,0,0,0,84,28.6%   28.6%   22.6%   11.9%   8.3%,1,1,2023,235
INF 228,UX/UI design,ENG,0,8,9,1,3,1,1,0,0,0,0,23,34.8%   39.1%   4.3%   13%   8.7%,0,1,2023,559
INF 231,Web programming: front end,ENG,0,3,24,19,23,7,11,0,0,0,1,88,3.4%   27.3%   21.6%   26.1%   20.5%,0,1,2023,385
INF 263,Applied Graph Theory,ENG,0,0,1,4,2,1,6,0,0,0,0,14,0%   7.1%   28.6%   14.3%   50%,1,1,2023,163
INF 305,Database Management Systems 2,ENG,0,11,13,6,9,0,5,0,0,0,0,44,25%   29.5%   13.6%   20.5%   11.4%,1,1,2023,542
INF 314,Computer networks 2,ENG,0,2,5,1,1,0,3,0,0,0,1,13,15.4%   38.5%   7.7%   7.7%   23.1%,1,1,2023,75
INF 318,Introduction to Testing,ENG,0,0,4,15,14,4,6,0,0,0,0,43,0%   9.3%   34.9%   32.6%   23.3%,0,1,2023,416
INF 318,Introduction to Testing,ENG,0,1,4,14,8,6,9,0,0,0,1,43,2.3%   9.3%   32.6%   18.6%   34.9%,0,1,2023,509
INF 321,Machine Learning,ENG,0,71,0,0,0,0,21,0,0,0,0,92,77.2%   0%   0%   0%   22.8%,0,1,2023,3
INF 322,Graphic Design,ENG,0,44,20,6,4,0,5,0,0,0,1,80,55%   25%   7.5%   5%   6.3%,1,1,2023,87
INF 323,Data analysis,ENG,0,33,29,4,6,0,9,0,0,0,2,83,39.8%   34.9%   4.8%   7.2%   10.8%,0,1,2023,16
INF 324,Computer vision,ENG,0,13,11,14,25,0,0,0,0,0,0,63,20.6%   17.5%   22.2%   39.7%   0%,0,1,2023,510
INF 325,Enterpreneurship in information systems,ENG,0,13,30,11,2,1,7,0,0,0,1,65,20%   46.2%   16.9%   3.1%   12.3%,0,1,2023,9
INF 326,Numerical Methods for Computer Science,ENG,1,2,1,3,2,0,8,0,0,0,1,17,11.8%   5.9%   17.6%   11.8%   47.1%,0,1,2023,170
INF 328,3D modeling,ENG,0,13,27,20,5,2,16,0,0,0,6,89,14.6%   30.3%   22.5%   5.6%   20.2%,0,1,2023,83
INF 328,3D modeling,ENG,0,6,6,2,2,0,0,0,0,0,0,16,37.5%   37.5%   12.5%   12.5%   0%,1,1,2023,419
INF 330,Information storage management and virtualization,ENG,0,8,17,7,5,1,13,0,0,0,0,51,15.7%   33.3%   13.7%   9.8%   27.5%,0,1,2023,10
INF 338,Linux Administration,ENG,0,3,16,21,11,2,20,0,0,0,1,74,4.1%   21.6%   28.4%   14.9%   29.7%,0,1,2023,420
INF 344,IT security and Risk Management,ENG,1,9,67,19,10,1,2,0,0,0,0,108,8.3%   62%   17.6%   9.3%   2.8%,1,1,2023,560
INF 345,Fundamentals of DevOps,ENG,0,5,27,35,12,5,12,0,0,0,1,97,5.2%   27.8%   36.1%   12.4%   17.5%,0,1,2023,420
INF 356,Game Development 1,ENG,0,15,15,14,4,2,8,0,0,0,0,58,25.9%   25.9%   24.1%   6.9%   17.2%,0,1,2023,28
INF 360,IT-law,ENG,0,24,26,3,0,0,6,0,0,0,0,59,40.7%   44.1%   5.1%   0%   10.2%,0,1,2023,561
INF 360,IT-law,ENG,0,1,4,4,8,0,1,0,0,0,0,18,5.6%   22.2%   22.2%   44.4%   5.6%,1,1,2023,562
INF 365,Fundamentals of Finance,ENG,0,32,18,6,0,0,0,0,0,0,0,56,57.1%   32.1%   10.7%   0%   0%,0,1,2023,563
INF 370,User Interface Design,ENG,0,19,56,6,1,0,2,0,0,0,4,88,21.6%   63.6%   6.8%   1.1%   2.3%,1,1,2023,235
INF 376,Natural Language Processing,ENG,0,1,1,2,2,1,15,0,0,0,0,22,4.5%   4.5%   9.1%   9.1%   72.7%,0,1,2023,22
INF 384,Game Design,ENG,1,3,23,16,3,1,8,0,0,0,0,54,5.6%   42.6%   29.6%   5.6%   16.7%,1,1,2023,350
INF 387,Communication Management,ENG,0,42,35,5,1,0,1,0,0,0,0,84,50%   41.7%   6%   1.2%   1.2%,1,1,2023,564
INF 405,Personal Development in Computer Science,ENG,0,45,10,1,1,0,0,0,0,0,0,57,78.9%   17.5%   1.8%   1.8%   0%,0,1,2023,84
INF 405,Personal Development in Computer Science,ENG,0,20,7,1,1,0,3,0,0,0,0,32,62.5%   21.9%   3.1%   3.1%   9.4%,1,1,2023,511
INF 405,Personal Development in Computer Science,ENG,0,5,21,1,0,0,0,0,0,0,0,27,18.5%   77.8%   3.7%   0%   0%,0,1,2023,368
INF 406,Data Ethics & Applied Analytics,ENG,0,3,17,28,25,8,16,0,0,0,1,98,3.1%   17.3%   28.6%   25.5%   24.5%,0,1,2023,423
INF 415,Leadership in IT,ENG,0,5,47,45,9,3,6,0,0,0,0,115,4.3%   40.9%   39.1%   7.8%   7.8%,1,1,2023,20
INF 417,Linux Administration 2,ENG,0,0,0,4,5,3,10,0,0,0,0,22,0%   0%   18.2%   22.7%   59.1%,0,1,2023,420
INF 419,Industrial practice 2,ENG,0,1,0,0,0,0,0,0,0,0,0,1,100%   0%   0%   0%   0%,1,1,2023,20
INF 421,Security in Computer Networks,ENG,0,2,5,5,3,3,27,0,0,0,1,46,4.3%   10.9%   10.9%   6.5%   65.2%,1,1,2023,75
INF 425,Wireless networks,ENG,0,0,4,1,4,4,9,0,0,0,0,22,0%   18.2%   4.5%   18.2%   59.1%,1,1,2023,71
INF 425,Wireless networks,ENG,0,0,0,5,4,0,10,0,0,0,2,21,0%   0%   23.8%   19%   47.6%,0,1,2023,422
INF 426,IT Asset Management,ENG,0,51,10,2,2,0,3,0,0,0,0,68,75%   14.7%   2.9%   2.9%   4.4%,0,1,2023,565
INF 431,Accounting Information Systems,ENG,0,32,25,7,0,0,0,0,0,0,0,64,50%   39.1%   10.9%   0%   0%,0,1,2023,563
INF 433,ICT in Agriculture,ENG,1,5,19,18,8,0,1,0,0,0,0,51,9.8%   37.3%   35.3%   15.7%   2%,0,1,2023,424
INF 440,Digital Image Processing,ENG,1,5,58,2,1,0,2,0,0,0,0,68,7.4%   85.3%   2.9%   1.5%   2.9%,0,1,2023,38
INF 448,Big Data Analytics,ENG,0,6,8,8,9,0,16,0,0,0,0,47,12.8%   17%   17%   19.1%   34%,0,1,2023,423
INF 484,Defense of Graduation Thesis (Computer Science),ENG,1,0,1,0,2,0,0,0,0,0,0,3,0%   33.3%   0%   66.7%   0%,0,1,2023,500
IRN 105,Introduction to International Relations,LAW,0,12,20,17,7,18,7,0,0,0,3,84,14.3%   23.8%   20.2%   8.3%   29.8%,1,1,2023,566
IRN 115,Introduction to Political Philosophy,LAW,1,62,13,0,0,0,1,0,0,0,0,76,81.6%   17.1%   0%   0%   1.3%,0,1,2023,93
IRN 128,Human Rights,LAW,1,67,8,0,0,0,1,0,0,0,0,76,88.2%   10.5%   0%   0%   1.3%,0,1,2023,93
IRN 205,Foreign Policy Analysis,LAW,0,16,6,8,11,1,1,0,0,0,0,43,37.2%   14%   18.6%   25.6%   4.7%,1,1,2023,512
IRN 209,International Relations Theories,LAW,1,20,13,15,13,2,2,0,0,0,2,67,29.9%   19.4%   22.4%   19.4%   6%,0,1,2023,567
IRN 211,Diplomatic and Consular Services,LAW,0,22,16,11,11,1,2,0,0,0,0,63,34.9%   25.4%   17.5%   17.5%   4.8%,1,1,2023,512
IRN 216,International Conflicts and Peace,LAW,1,4,8,6,14,1,2,0,0,0,0,35,11.4%   22.9%   17.1%   40%   8.6%,0,1,2023,427
IRN 216,International Conflicts and Peace,LAW,0,3,0,0,0,0,0,0,0,0,0,3,100%   0%   0%   0%   0%,1,1,2023,512
IRN 219,Introduction to Comparative Politics,LAW,1,14,13,9,9,15,7,0,0,0,0,67,20.9%   19.4%   13.4%   13.4%   32.8%,0,1,2023,98
IRN 220,Contemporary history of International Relations,LAW,0,7,14,16,13,9,8,0,0,0,1,68,10.3%   20.6%   23.5%   19.1%   25%,1,1,2023,568
IRN 320,Foreign Policy of Kazakhstan,LAW,1,5,11,16,18,6,4,0,0,0,0,60,8.3%   18.3%   26.7%   30%   16.7%,0,1,2023,427
IRN 325,Foreign Language of Specialization - I (French European),LAW,1,13,19,0,0,0,2,0,0,0,1,35,37.1%   54.3%   0%   0%   5.7%,1,1,2023,569
IRN 328,Research Methods,LAW,1,16,14,22,10,3,3,0,0,0,2,70,22.9%   20%   31.4%   14.3%   8.6%,0,1,2023,425
IRN 329,Foreign Language of Specialization - I (Asia Chineese),LAW,0,14,10,1,0,0,0,0,0,0,0,25,56%   40%   4%   0%   0%,0,1,2023,100
IRN 340,Emerging China and World affairs,LAW,1,10,7,4,10,2,6,0,0,0,0,39,25.6%   17.9%   10.3%   25.6%   20.5%,1,1,2023,92
IRN 340,Emerging China and World affairs,LAW,0,3,0,0,0,0,0,0,0,0,0,3,100%   0%   0%   0%   0%,1,1,2023,512
IRN 346,Contemporary system of international relations,LAW,0,11,15,16,5,8,2,0,0,0,0,57,19.3%   26.3%   28.1%   8.8%   17.5%,1,1,2023,568
IRN 348,Techniques of Conducting Diplomatic Negotiations,LAW,1,11,14,11,9,10,7,0,0,0,0,62,17.7%   22.6%   17.7%   14.5%   27.4%,0,1,2023,98
IRN 355,International Security,LAW,1,16,8,6,6,0,0,0,0,0,0,36,44.4%   22.2%   16.7%   16.7%   0%,0,1,2023,567
IRN 355,International Security,LAW,0,3,0,0,0,0,0,0,0,0,0,3,100%   0%   0%   0%   0%,1,1,2023,512
IRN 404,Foreign Language of Specialization (Asia Chineese),LAW,0,9,6,2,0,0,1,0,0,0,0,18,50%   33.3%   11.1%   0%   5.6%,0,1,2023,100
IRN 404,Foreign Language of Specialization (Asia Chineese),LAW,0,1,0,0,0,0,0,0,0,0,0,1,100%   0%   0%   0%   0%,1,1,2023,512
IRN 445,Foreign Language of Specialization (French European),LAW,1,7,11,0,0,0,1,0,0,0,0,19,36.8%   57.9%   0%   0%   5.3%,1,1,2023,569
IRN 445,Foreign Language of Specialization (French European),LAW,0,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,1,1,2023,512
