Code,Title,Dept,Level,A,B,C,D,F,FX,Pass,Not pass,IP,W,Total,#VALUE!,Gender,Semester,Year,teacher_id
PED 356,Discrete Mathematics,PED,0,3,13,6,7,1,1,0,0,0,0,31,9.7%   41.9%   19.4%   22.6%   6.5%,1,2,2021,249
PED 365,Mathematics 1,PED,0,8,18,5,4,0,1,0,0,0,0,36,22.2%   50%   13.9%   11.1%   2.8%,1,2,2021,249
TFL 437,English for Academic Purposes,PED,0,16,4,14,8,0,3,0,0,0,0,45,35.6%   8.9%   31.1%   17.8%   6.7%,1,2,2021,294
LAW 301,International Public Law,LAW,0,12,16,24,10,9,10,0,0,0,0,81,14.8%   19.8%   29.6%   12.3%   23.5%,1,2,2021,132
LAW 475,International trade law,LAW,0,16,16,19,32,1,21,0,0,0,0,105,15.2%   15.2%   18.1%   30.5%   21%,1,2,2021,132
PED 515,Research scientific training,PED,1,0,0,0,0,0,0,48,2,0,0,50,0%   0%   0%   0%   0%,1,2,2021,310
PED 615,Scientific & research Study 4,PED,1,0,0,0,0,0,0,3,0,0,0,3,0%   0%   0%   0%   0%,1,2,2021,310
PED 641,Research practice,PED,1,0,0,0,0,0,0,5,0,0,0,5,0%   0%   0%   0%   0%,1,2,2021,310
INF 231,Web programming: front end,ENG,0,19,13,4,7,2,15,0,0,0,1,61,31.1%   21.3%   6.6%   11.5%   27.9%,1,2,2021,27
LAW 385,Civil procedural law of RK 1,LAW,1,12,8,4,7,1,7,0,0,0,0,39,30.8%   20.5%   10.3%   17.9%   20.5%,1,2,2021,135
LAW 386,Labour relations and labour disputes,LAW,1,12,6,5,6,1,7,0,0,0,0,37,32.4%   16.2%   13.5%   16.2%   21.6%,1,2,2021,135
LAW 472,Forming civil procedural documents,LAW,1,8,3,9,19,3,11,0,0,0,0,53,15.1%   5.7%   17%   35.8%   26.4%,1,2,2021,135
LAW 308,Law enforcement agencies and public Prosecutor's supervision,LAW,1,25,4,0,0,3,4,0,0,0,0,36,69.4%   11.1%   0%   0%   19.4%,1,2,2021,311
LAW 393,Criminal Procedure Law of the RK,LAW,1,25,4,0,0,2,4,0,0,0,0,35,71.4%   11.4%   0%   0%   17.1%,1,2,2021,311
LAW 427,Prosecutorial Supervision,LAW,1,11,33,0,0,0,9,0,0,0,0,53,20.8%   62.3%   0%   0%   17%,1,2,2021,311
TFL 152,Foreıgn Language (second) -1 (A1): Korean,PED,0,57,13,3,0,0,1,0,0,0,0,74,77%   17.6%   4.1%   0%   1.4%,1,2,2021,284
TFL 214,Second FL(3)-Korean (A2-B1),PED,0,28,17,4,0,0,1,0,0,0,0,50,56%   34%   8%   0%   2%,1,2,2021,284
SPS 103,Introduction to the pedagogical profession,PED,1,13,18,0,0,0,0,0,0,0,0,31,41.9%   58.1%   0%   0%   0%,1,2,2021,121
SPS 105,Educational practice (Introduction to the pedagogical profession),PED,1,31,0,0,0,0,0,0,0,0,0,31,100%   0%   0%   0%   0%,1,2,2021,121
LAW 634,Research methods,LAW,1,4,0,0,0,0,1,0,0,0,0,5,80%   0%   0%   0%   20%,1,2,2021,129
MCM 111,Mathematical analysis 1,ENG,1,2,4,13,8,6,4,0,0,0,0,37,5.4%   10.8%   35.1%   21.6%   27%,1,2,2021,159
PED 223,Pedagogy,PED,1,8,39,6,0,0,1,0,0,0,0,54,14.8%   72.2%   11.1%   0%   1.9%,1,2,2021,312
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),ENG,0,5,68,50,12,0,5,0,0,0,1,141,3.5%   48.2%   35.5%   8.5%   3.5%,1,2,2021,184
INF 415,Leadership in IT,ENG,0,78,19,9,0,0,0,0,0,0,0,106,73.6%   17.9%   8.5%   0%   0%,1,2,2021,313
MAN 316,Project Management,PED,0,29,4,0,0,0,0,0,0,0,0,33,87.9%   12.1%   0%   0%   0%,1,2,2021,313
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),ENG,0,12,22,13,4,2,3,0,0,0,1,57,21.1%   38.6%   22.8%   7%   8.8%,1,2,2021,314
LAW 644,Patent law and Means of individualization,LAW,0,5,1,0,0,0,0,0,0,0,0,6,83.3%   16.7%   0%   0%   0%,1,2,2021,315
MAT 151,Linear Algebra,ENG,0,25,153,224,145,83,94,0,0,0,1,725,3.4%   21.1%   30.9%   20%   24.4%,1,2,2021,163
MAT 101,Mathematical analysis 1,ENG,1,8,40,32,21,0,5,0,0,0,0,106,7.5%   37.7%   30.2%   19.8%   4.7%,1,2,2021,155
MAT 205,Ordinary differential equations,ENG,1,18,22,39,45,7,22,0,0,0,0,153,11.8%   14.4%   25.5%   29.4%   19%,1,2,2021,155
MAT 205,Ordinary differential equations,BS,1,18,22,39,45,7,22,0,0,0,0,153,11.8%   14.4%   25.5%   29.4%   19%,1,2,2021,155
TRA 219,Translation and Interpreting Internship 1,PED,0,21,1,1,2,0,0,0,0,0,0,25,84%   4%   4%   8%   0%,1,2,2021,60
TRA 250,Introduction to Translation,PED,0,43,50,20,6,0,3,0,0,0,0,122,35.2%   41%   16.4%   4.9%   2.5%,1,2,2021,60
TRA 323,Consecutive interpreting,PED,0,8,3,1,2,0,0,0,0,0,0,14,57.1%   21.4%   7.1%   14.3%   0%,1,2,2021,60
TRA 331,Techniques of Financial and Official Texts Translation (Kazakh/Russian/English),PED,0,20,5,0,0,0,3,0,0,0,0,28,71.4%   17.9%   0%   0%   10.7%,1,2,2021,60
MDE 173,Information and Communication Technologies (in English),MDE,0,182,416,174,34,14,33,0,0,0,0,853,21.3%   48.8%   20.4%   4%   5.5%,1,2,2021,221
IRN 220,Contemporary history of International Relations,LAW,1,22,12,6,2,8,5,0,0,0,0,55,40%   21.8%   10.9%   3.6%   23.6%,1,2,2021,92
TFL 545,Research Methodology in Foreign Language Education,PED,1,52,6,1,1,0,8,0,0,0,0,68,76.5%   8.8%   1.5%   1.5%   11.8%,1,2,2021,303
TFL 615,Educational Administration and Entrepreneurship,PED,1,30,22,4,1,0,4,0,0,0,0,61,49.2%   36.1%   6.6%   1.6%   6.6%,1,2,2021,303
TFL 629,Graduate Seminars: Data Analysis in Educational Research,PED,1,34,15,7,1,0,4,0,0,0,0,61,55.7%   24.6%   11.5%   1.6%   6.6%,1,2,2021,303
TFL 731,Research Methods (TESOL and Applied Linguistics),PED,1,3,0,0,0,0,0,0,0,0,0,3,100%   0%   0%   0%   0%,1,2,2021,303
LAW 271,Law of Obligation 1,LAW,1,3,9,9,1,2,4,0,0,0,0,28,10.7%   32.1%   32.1%   3.6%   21.4%,1,2,2021,136
LAW 361,Еntrepreneurial and corporate law,LAW,1,7,8,13,4,3,1,0,0,0,0,36,19.4%   22.2%   36.1%   11.1%   11.1%,1,2,2021,136
LAW 385,Civil procedural law of RK 1,LAW,1,9,9,8,6,1,2,0,0,0,0,35,25.7%   25.7%   22.9%   17.1%   8.6%,1,2,2021,136
LAW 472,Forming civil procedural documents,LAW,1,7,12,15,5,3,6,0,0,0,0,48,14.6%   25%   31.3%   10.4%   18.8%,1,2,2021,136
PED 202,Cytology and Histology,PED,1,2,33,17,1,0,0,0,0,0,0,53,3.8%   62.3%   32.1%   1.9%   0%,1,2,2021,316
PED 407,Genetics,PED,1,6,56,13,8,0,2,0,0,0,0,85,7.1%   65.9%   15.3%   9.4%   2.4%,1,2,2021,316
PED 519,Scientific Research Methods and data analysis,PED,1,6,28,7,3,0,6,0,0,0,0,50,12%   56%   14%   6%   12%,1,2,2021,316
LAW 622,Research practice,LAW,1,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,1,2,2021,130
KZL 345,Foreign Literature,PED,0,17,3,5,0,0,1,0,0,0,0,26,65.4%   11.5%   19.2%   0%   3.8%,1,2,2021,122
KZL 353,The history of the formation of Kazakh literature,PED,0,6,4,1,0,0,0,0,0,0,0,11,54.5%   36.4%   9.1%   0%   0%,1,2,2021,122
CSS 105,Fundamentals of Programming,ENG,0,25,47,67,60,25,50,0,0,0,3,277,9%   17%   24.2%   21.7%   27.1%,1,2,2021,317
CSS 105,Fundamentals of Programming,BS,0,25,47,67,60,25,50,0,0,0,3,277,9%   17%   24.2%   21.7%   27.1%,1,2,2021,317
MDE 107,Foreign Language 1 (General English - A1 level),PED,0,3,14,14,6,0,0,0,0,0,0,37,8.1%   37.8%   37.8%   16.2%   0%,1,2,2021,318
MDE 109,Foreign Language 1 (General English - A2 level),MDE,0,3,9,3,4,0,0,0,0,0,0,19,15.8%   47.4%   15.8%   21.1%   0%,1,2,2021,318
MDE 161,Еconomy,LAW,0,147,117,44,26,3,28,0,0,0,0,365,40.3%   32.1%   12.1%   7.1%   8.5%,1,2,2021,319
MDE 154,Module of Social and Political Knowledge (Psychology),PED,1,39,0,0,0,0,0,0,0,0,0,39,100%   0%   0%   0%   0%,1,2,2021,216
MDE 522,Psychology of Management,LAW,1,31,0,0,0,0,1,0,0,0,0,32,96.9%   0%   0%   0%   3.1%,1,2,2021,216
TRA 103,Foreign language (В1) ENGLISH - 1,PED,0,4,11,6,0,0,0,0,0,0,0,21,19%   52.4%   28.6%   0%   0%,1,2,2021,264
TRA 217,Major Foreign Language (B2): English in Intercultural Communication Contexts -1,PED,0,7,38,19,9,1,0,0,0,0,0,74,9.5%   51.4%   25.7%   12.2%   1.4%,1,2,2021,264
ECO 302,Entrepreneurial Economics,BS,0,0,1,1,0,0,1,0,0,0,0,3,0%   33.3%   33.3%   0%   33.3%,0,2,2021,320
JUR 360,Video journalism,LAW,0,24,11,0,2,0,0,0,0,0,0,37,64.9%   29.7%   0%   5.4%   0%,1,2,2021,104
JUR 505,Theories and Concepts in Media and Communications,LAW,0,12,4,0,0,0,0,0,0,0,0,16,75%   25%   0%   0%   0%,1,2,2021,104
JUR 631,Visual and Multimedia Journalism,LAW,0,9,2,0,0,0,0,0,0,0,0,11,81.8%   18.2%   0%   0%   0%,1,2,2021,104
JUR 633,Media and Ethics,LAW,0,10,1,0,0,0,0,0,0,0,0,11,90.9%   9.1%   0%   0%   0%,1,2,2021,104
PED 104,Elementary mathematics,PED,0,3,8,11,6,0,2,0,0,0,0,30,10%   26.7%   36.7%   20%   6.7%,1,2,2021,230
PED 359,History of Mathematics,PED,0,7,10,10,7,0,1,0,0,0,0,35,20%   28.6%   28.6%   20%   2.9%,1,2,2021,230
INF 326,Numerical Methods for Computer Science,ENG,1,4,8,11,24,1,18,0,0,0,0,66,6.1%   12.1%   16.7%   36.4%   28.8%,0,2,2021,170
MCM 302,Numerical methods,ENG,1,10,8,7,5,4,2,0,0,0,0,36,27.8%   22.2%   19.4%   13.9%   16.7%,0,2,2021,170
CSS 341,Computer organization and architecture,ENG,1,77,32,19,2,1,19,0,0,0,0,150,51.3%   21.3%   12.7%   1.3%   13.3%,0,2,2021,14
TFL 733,Research Design of Doctoral Dissertation,PED,1,0,0,0,0,0,0,3,0,0,0,3,0%   0%   0%   0%   0%,1,2,2021,321
TFL 811,Graduate Seminars: Research Article Presentations -1,PED,1,0,0,0,0,0,0,2,0,0,0,2,0%   0%   0%   0%   0%,1,2,2021,321
MDE 160,Community engagement and value based Society 1,LAW,0,0,0,0,0,0,0,22,0,0,0,22,0%   0%   0%   0%   0%,0,2,2021,322
PED 450,Teaching students to solve Olympiad problems,PED,0,17,12,2,1,1,3,0,0,0,0,36,47.2%   33.3%   5.6%   2.8%   11.1%,0,2,2021,243
ECO 215,Microeconomics CIMA,BS,1,48,20,25,12,0,5,0,0,0,0,110,43.6%   18.2%   22.7%   10.9%   4.5%,0,2,2021,58
CSS 507,"Data Сollection, Wrangling, Analysis and Visualization",ENG,0,2,5,0,0,1,2,0,0,0,0,10,20%   50%   0%   0%   30%,1,2,2021,323
PED 352,Biochemistry (Bioorganic chemistry),PED,0,0,15,35,15,5,6,0,0,0,1,77,0%   19.5%   45.5%   19.5%   14.3%,1,2,2021,244
MDE 111,Kazakh Language 1 (А1 level/ for foreigners),MDE,0,3,3,1,0,0,1,0,0,0,0,8,37.5%   37.5%   12.5%   0%   12.5%,1,2,2021,186
MDE 113,Kazakh Language 1 (B1 level),MDE,0,14,29,6,0,0,1,0,0,0,0,50,28%   58%   12%   0%   2%,1,2,2021,186
CSS 252,Electronics,ENG,0,31,32,25,22,10,23,0,0,0,0,143,21.7%   22.4%   17.5%   15.4%   23.1%,1,2,2021,71
INF 440,Digital Image Processing,ENG,0,24,36,21,1,2,3,0,0,0,0,87,27.6%   41.4%   24.1%   1.1%   5.7%,1,2,2021,71
CSS 518,RedHat - System Administration (I + II),ENG,0,13,10,4,1,0,3,0,0,0,0,31,41.9%   32.3%   12.9%   3.2%   9.7%,0,2,2021,35
CSS 613,RedHat - System Administration (III + OpenStack),ENG,0,11,3,5,1,0,0,0,0,0,0,20,55%   15%   25%   5%   0%,0,2,2021,35
PED 633,Philosophy and Methodology of pedagogy,PED,1,1,1,0,0,0,1,0,0,0,0,3,33.3%   33.3%   0%   0%   33.3%,1,2,2021,324
LAW 205,Criminal Law of the Republic of Kazakhstan (general part)-I,LAW,1,10,28,24,15,7,10,0,0,0,0,94,10.6%   29.8%   25.5%   16%   18.1%,0,2,2021,128
LAW 270,Educational practice,LAW,1,12,17,8,6,2,5,0,0,0,0,50,24%   34%   16%   12%   14%,0,2,2021,128
LAW 401,Logics,LAW,1,4,15,1,1,0,5,0,0,0,0,26,15.4%   57.7%   3.8%   3.8%   19.2%,0,2,2021,128
TRA 217,Major Foreign Language (B2): English in Intercultural Communication Contexts -1,PED,0,4,9,5,3,1,0,0,0,0,0,22,18.2%   40.9%   22.7%   13.6%   4.5%,0,2,2021,278
MAR 201,Principles of Marketing,BS,0,47,37,64,51,15,15,0,0,0,0,229,20.5%   16.2%   27.9%   22.3%   13.1%,1,2,2021,325
FIN 307,Cost Accounting (ACCA),BS,0,1,12,20,55,0,9,0,0,0,0,97,1%   12.4%   20.6%   56.7%   9.3%,1,2,2021,65
LAW 640,Methods of writing academic articles,LAW,0,1,6,4,1,3,1,0,0,0,0,16,6.3%   37.5%   25%   6.3%   25%,1,2,2021,326
ECO 205,Microeconomics (CFA),BS,0,5,3,12,2,1,2,0,0,0,0,25,20%   12%   48%   8%   12%,1,2,2021,50
ECO 215,Microeconomics CIMA,BS,0,6,19,20,24,11,19,0,0,0,1,100,6%   19%   20%   24%   30%,1,2,2021,50
INF 202,Database Management Systems 1,ENG,0,31,106,66,56,20,65,0,0,0,2,346,9%   30.6%   19.1%   16.2%   24.6%,0,2,2021,22
INF 376,Natural Language Processing,ENG,0,2,1,0,2,3,14,0,0,0,1,23,8.7%   4.3%   0%   8.7%   73.9%,0,2,2021,22
TFL 547,Assessment of Foreign Language Proficiency,PED,0,19,28,8,4,0,9,0,0,0,0,68,27.9%   41.2%   11.8%   5.9%   13.2%,0,2,2021,291
LAW 256,Human Rights and Civil Liberties,LAW,0,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,1,2,2021,125
LAW 401,Logics,LAW,0,1,0,0,0,0,0,0,0,0,0,1,100%   0%   0%   0%   0%,1,2,2021,125
LAW 405,International arbitration,LAW,0,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,1,2,2021,125
LAW 427,Prosecutorial Supervision,LAW,0,1,0,0,0,0,2,0,0,0,0,3,33.3%   0%   0%   0%   66.7%,1,2,2021,125
LAW 456,Pre-diploma practice,LAW,0,0,5,0,0,0,0,0,0,0,0,5,0%   100%   0%   0%   0%,1,2,2021,125
LAW 472,Forming civil procedural documents,LAW,0,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,1,2,2021,125
LAW 473,Attorney and professional ethics of a lawyer,LAW,0,2,0,0,0,0,2,0,0,0,0,4,50%   0%   0%   0%   50%,1,2,2021,125
LAW 474,Selected cases from the practice of international law firms,LAW,0,51,31,10,13,0,2,0,0,0,0,107,47.7%   29%   9.3%   12.1%   1.9%,1,2,2021,125
LAW 475,International trade law,LAW,0,2,0,1,0,0,2,0,0,0,0,5,40%   0%   20%   0%   40%,1,2,2021,125
MDE 162,Law,LAW,0,170,100,35,6,1,3,0,0,0,0,315,54%   31.7%   11.1%   1.9%   1.3%,1,2,2021,125
TRA 103,Foreign language (В1) ENGLISH - 1,PED,0,13,19,7,1,0,1,0,0,0,0,41,31.7%   46.3%   17.1%   2.4%   2.4%,1,2,2021,267
CSS 425,Software Testing Technologies,ENG,0,21,12,5,4,0,12,0,0,0,0,54,38.9%   22.2%   9.3%   7.4%   22.2%,0,2,2021,327
ECO 103,Mathematics for Economics,BS,0,34,74,66,44,25,9,0,0,0,0,252,13.5%   29.4%   26.2%   17.5%   13.5%,0,2,2021,41
MAT 723,Topics in Algebra,ENG,1,0,1,2,1,0,3,0,0,0,0,7,0%   14.3%   28.6%   14.3%   42.9%,0,2,2021,175
MDE 160,Community engagement and value based Society 1,ENG,0,0,0,0,0,0,0,21,0,0,0,21,0%   0%   0%   0%   0%,0,2,2021,328
JUR 245,Media literacy,LAW,0,1,18,11,2,1,1,0,0,0,0,34,2.9%   52.9%   32.4%   5.9%   5.9%,0,2,2021,107
JUR 401,Data journalism,LAW,0,4,16,12,4,1,0,0,0,0,0,37,10.8%   43.2%   32.4%   10.8%   2.7%,0,2,2021,107
JUR 609,New technologies for journalism,LAW,0,4,4,1,2,0,0,0,0,0,0,11,36.4%   36.4%   9.1%   18.2%   0%,0,2,2021,107
JUR 352,Theory of Mass-communication,LAW,1,9,21,9,6,3,14,0,0,0,0,62,14.5%   33.9%   14.5%   9.7%   27.4%,1,2,2021,108
JUR 418,Research methods,LAW,1,16,7,4,6,2,10,0,0,0,0,45,35.6%   15.6%   8.9%   13.3%   26.7%,1,2,2021,108
JUR 503,Methods of research in media and communications (qualitative and quantitative analysis),LAW,1,10,4,1,1,0,0,0,0,0,0,16,62.5%   25%   6.3%   6.3%   0%,1,2,2021,108
MDE 161,Еconomy,LAW,0,7,12,0,1,0,0,0,0,0,0,20,35%   60%   0%   5%   0%,1,2,2021,329
CSS 152,Physics 1,ENG,0,5,25,54,51,24,45,0,0,0,8,212,2.4%   11.8%   25.5%   24.1%   32.5%,1,2,2021,6
MDE 177,Turkish Language 1 (А1 level),PED,0,21,6,1,1,0,0,0,0,0,0,29,72.4%   20.7%   3.4%   3.4%   0%,1,2,2021,222
ECO 109,Principles of Economics,BS,0,11,10,28,33,7,14,0,0,0,0,103,10.7%   9.7%   27.2%   32%   20.4%,1,2,2021,45
MDE 516,Management,BS,1,7,0,0,1,0,1,0,0,0,0,9,77.8%   0%   0%   11.1%   11.1%,0,2,2021,150
IRN 354,Geopolitics and Regional Integration,LAW,1,10,7,9,2,0,8,0,0,0,0,36,27.8%   19.4%   25%   5.6%   22.2%,1,2,2021,330
IRN 466,Contemporary Issues in International Relations,LAW,1,13,9,0,2,0,9,0,0,0,0,33,39.4%   27.3%   0%   6.1%   27.3%,1,2,2021,330
JUR 135,Photojournalism,LAW,0,28,20,4,2,0,1,0,0,0,0,55,50.9%   36.4%   7.3%   3.6%   1.8%,0,2,2021,102
JUR 243,Educational practice,LAW,0,33,0,0,0,0,1,0,0,0,0,34,97.1%   0%   0%   0%   2.9%,0,2,2021,102
JUR 359,Audio-video editing techniques,LAW,0,28,6,0,0,0,1,0,0,0,0,35,80%   17.1%   0%   0%   2.9%,0,2,2021,102
JUR 465,Industrial Project ,LAW,0,7,0,0,0,0,0,0,0,0,0,7,100%   0%   0%   0%   0%,0,2,2021,102
CSS 446,IT audit,ENG,0,0,2,5,4,2,23,0,0,0,0,36,0%   5.6%   13.9%   11.1%   69.4%,0,2,2021,331
CSS 108,Programming Technologies and Educational Practice,ENG,0,5,29,31,19,5,12,0,0,0,1,102,4.9%   28.4%   30.4%   18.6%   16.7%,0,2,2021,8
CSS 215,Introduction to Algorithms,ENG,0,9,34,32,13,5,14,0,0,0,4,111,8.1%   30.6%   28.8%   11.7%   17.1%,0,2,2021,8
CSS 215,Introduction to Algorithms,ENG,0,84,118,32,27,3,29,0,0,0,3,296,28.4%   39.9%   10.8%   9.1%   10.8%,0,2,2021,16
LAW 127,Introduction to law,LAW,1,0,9,12,1,0,4,0,0,0,0,26,0%   34.6%   46.2%   3.8%   15.4%,0,2,2021,131
LAW 473,Attorney and professional ethics of a lawyer,LAW,1,1,12,27,2,6,2,0,0,0,0,50,2%   24%   54%   4%   16%,0,2,2021,131
LAW 533,"""Mergers and Acquisitions"" Transactions: Legal Aspects",LAW,1,0,7,2,0,0,1,0,0,0,0,10,0%   70%   20%   0%   10%,0,2,2021,131
MDE 171,Modern History of Kazakhstan,MDE,0,92,218,164,69,0,34,0,0,0,0,577,15.9%   37.8%   28.4%   12%   5.9%,0,2,2021,218
MDE 123,Russian Language 1 (B1 level),MDE,0,27,52,34,15,1,6,0,0,0,0,135,20%   38.5%   25.2%   11.1%   5.2%,1,2,2021,194
INF 325,Enterpreneurship in information systems,ENG,0,10,26,39,11,4,3,0,0,0,2,95,10.5%   27.4%   41.1%   11.6%   7.4%,0,2,2021,9
PED 426,Solving olympiad problems in chemistry and biology,PED,1,62,46,8,4,0,1,0,0,0,0,121,51.2%   38%   6.6%   3.3%   0.8%,0,2,2021,332
JUR 807,Public Relations Principles and Practices,LAW,0,8,3,0,0,0,0,0,0,0,0,11,72.7%   27.3%   0%   0%   0%,0,2,2021,105
ECO 315,Introduction to Python,BS,0,8,6,12,16,1,6,0,0,0,0,49,16.3%   12.2%   24.5%   32.7%   14.3%,0,2,2021,54
FIN 513,Introduction to Python,BS,0,5,2,0,0,1,1,0,0,0,0,9,55.6%   22.2%   0%   0%   22.2%,0,2,2021,54
FIN 515,Database principles and Development,BS,0,5,2,0,0,1,1,0,0,0,0,9,55.6%   22.2%   0%   0%   22.2%,0,2,2021,54
PED 521,Geometry Teaching methods,PED,1,24,16,6,0,0,4,0,0,0,0,50,48%   32%   12%   0%   8%,0,2,2021,255
PED 630,Scientific Research Methods,PED,1,0,0,1,0,0,1,0,0,0,0,2,0%   0%   50%   0%   50%,0,2,2021,255
JUR 447,Content Marketing,LAW,0,6,11,7,6,2,9,0,0,0,0,41,14.6%   26.8%   17.1%   14.6%   26.8%,1,2,2021,333
FFA 222,Fundamentals of Linguistics,PED,0,43,122,70,33,6,10,0,0,0,0,284,15.1%   43%   24.6%   11.6%   5.6%,1,2,2021,286
TFL 129,Reading and Writing 1,PED,0,46,29,11,3,1,3,0,0,0,0,93,49.5%   31.2%   11.8%   3.2%   4.3%,1,2,2021,286
TFL 150,Foreıgn Language (second) -1 (A1): French,PED,0,3,11,5,6,0,4,0,0,0,0,29,10.3%   37.9%   17.2%   20.7%   13.8%,1,2,2021,286
TFL 359,Public Speaking (English;C1-C2),PED,0,50,81,56,18,5,11,0,0,0,0,221,22.6%   36.7%   25.3%   8.1%   7.2%,1,2,2021,286
TFL 383,English Lexicology and Stylistics,PED,0,22,51,73,42,12,15,0,0,0,0,215,10.2%   23.7%   34%   19.5%   12.6%,1,2,2021,286
TFL 437,English for Academic Purposes,PED,0,3,12,12,6,2,3,0,0,0,0,38,7.9%   31.6%   31.6%   15.8%   13.2%,1,2,2021,286
TFL 438,Assessment in Foreign Language Teaching,PED,0,71,26,6,2,3,2,0,0,0,0,110,64.5%   23.6%   5.5%   1.8%   4.5%,1,2,2021,286
