Code,Subject,Dept,Level,A,B,C,D,FX,F,Pass,Not Pass,IP,W,Total,%,Gender,Semester,Year,teacher_id
CSS 206,Database Management Systems 1,ENG,0,17,29,36,20,3,19,0,0,0,1,125,13.6%   23.2%   28.8%   16%   17.6%,1,1,2022,73
CSS 214,Introduction to iOS Programming,ENG,0,8,9,8,9,0,22,0,0,0,1,57,14%   15.8%   14%   15.8%   38.6%,0,1,2022,327
CSS 214,Introduction to iOS Programming,ENG,1,2,4,5,3,0,18,0,0,0,3,35,5.7%   11.4%   14.3%   8.6%   51.4%,0,1,2022,85
CSS 215,Introduction to Algorithms,ENG,0,36,31,17,10,0,3,0,0,0,3,100,36%   31%   17%   10%   3%,0,1,2022,16
CSS 215,Introduction to Algorithms,ENG,0,2,6,7,14,0,18,0,0,0,4,51,3.9%   11.8%   13.7%   27.5%   35.3%,0,1,2022,9
CSS 215,Introduction to Algorithms,ENG,0,87,62,46,31,0,39,0,0,0,24,289,30.1%   21.5%   15.9%   10.7%   13.5%,0,1,2022,76
CSS 215,Introduction to Algorithms,ENG,0,20,27,32,10,1,17,0,0,0,8,115,17.4%   23.5%   27.8%   8.7%   15.7%,0,1,2022,77
CSS 216,Mobile Programming,ENG,0,7,38,47,46,24,13,0,0,0,4,179,3.9%   21.2%   26.3%   25.7%   20.7%,0,1,2022,384
CSS 220,Advanced Algorithms,ENG,0,11,19,6,4,2,9,0,0,0,0,51,21.6%   37.3%   11.8%   7.8%   21.6%,0,1,2022,5
CSS 223,C# Object Oriented Programming,ENG,0,24,16,22,11,1,11,0,0,0,0,85,28.2%   18.8%   25.9%   12.9%   14.1%,0,1,2022,28
CSS 224,Programming abstractions,ENG,0,0,3,6,3,0,4,0,0,0,0,16,0%   18.8%   37.5%   18.8%   25%,0,1,2022,385
CSS 252,Electronics,ENG,0,25,25,67,30,11,21,0,0,0,0,179,14%   14%   37.4%   16.8%   17.9%,1,1,2022,386
CSS 303,Foundations of Information and Cyber Security,ENG,0,5,5,6,6,2,11,0,0,0,1,36,13.9%   13.9%   16.7%   16.7%   36.1%,0,1,2022,387
CSS 312,Computer Networks 1,ENG,0,3,9,17,29,9,29,0,0,0,6,102,2.9%   8.8%   16.7%   28.4%   37.3%,1,1,2022,75
CSS 324,Introduction to Machine Learning,ENG,0,28,3,5,6,1,25,0,0,0,8,76,36.8%   3.9%   6.6%   7.9%   34.2%,0,1,2022,3
CSS 328,Introduction to Data Analysis,ENG,1,16,10,18,0,3,1,0,0,0,0,48,33.3%   20.8%   37.5%   0%   8.3%,1,1,2022,30
CSS 330,Data wrangling and visualization,ENG,1,26,16,2,5,0,8,0,0,0,0,57,45.6%   28.1%   3.5%   8.8%   14%,1,1,2022,388
CSS 341,Computer organization and architecture,ENG,1,62,22,16,8,0,6,0,0,0,1,115,53.9%   19.1%   13.9%   7%   5.2%,0,1,2022,14
CSS 346,FPGA Programming,ENG,1,2,6,12,4,1,7,0,0,0,0,32,6.3%   18.8%   37.5%   12.5%   25%,1,1,2022,18
CSS 380,Industrial practice 1,ENG,0,0,0,0,0,0,0,462,28,0,3,493,0%   0%   0%   0%   0%,1,1,2022,20
CSS 380,Industrial practice 1,ENG,0,0,0,0,0,0,0,130,9,0,1,140,0%   0%   0%   0%   0%,0,1,2022,21
CSS 410,Research tools and methods,ENG,1,5,29,19,1,0,34,0,0,0,0,88,5.7%   33%   21.6%   1.1%   38.6%,1,1,2022,12
CSS 410,Research tools and methods,ENG,0,33,7,0,0,0,3,0,0,0,0,43,76.7%   16.3%   0%   0%   7%,0,1,2022,80
CSS 410,Research tools and methods,ENG,0,3,5,0,0,0,7,0,0,0,0,15,20%   33.3%   0%   0%   46.7%,0,1,2022,389
CSS 410,Research tools and methods,ENG,0,14,13,10,0,0,3,0,0,0,0,40,35%   32.5%   25%   0%   7.5%,1,1,2022,25
CSS 410,Research tools and methods,ENG,1,92,27,5,0,0,6,0,0,0,0,130,70.8%   20.8%   3.8%   0%   4.6%,0,1,2022,38
CSS 410,Research tools and methods,ENG,0,85,21,18,16,0,10,0,0,0,0,150,56.7%   14%   12%   10.7%   6.7%,0,1,2022,368
CSS 417,Linux Administration,ENG,0,3,11,21,15,3,9,0,0,0,0,62,4.8%   17.7%   33.9%   24.2%   19.4%,1,1,2022,390
CSS 423,Artificial Intellegence,ENG,0,11,4,0,0,0,1,0,0,0,0,16,68.8%   25%   0%   0%   6.3%,1,1,2022,169
CSS 423,Artificial Intellegence,ENG,1,2,1,4,5,1,5,0,0,0,0,18,11.1%   5.6%   22.2%   27.8%   33.3%,0,1,2022,391
CSS 439,Distributed Big Data Systems,ENG,0,11,3,14,8,1,19,0,0,0,4,60,18.3%   5%   23.3%   13.3%   33.3%,1,1,2022,25
CSS 446,IT audit,ENG,0,2,0,9,5,4,14,0,0,0,0,34,5.9%   0%   26.5%   14.7%   52.9%,0,1,2022,331
CSS 450,Industrial project (Introduction),ENG,0,93,25,10,1,0,0,0,0,0,0,129,72.1%   19.4%   7.8%   0.8%   0%,1,1,2022,20
CSS 452,Industrial project (Design),ENG,0,94,25,9,1,0,0,0,0,0,0,129,72.9%   19.4%   7%   0.8%   0%,1,1,2022,20
CSS 464,FAANG,ENG,0,1,3,7,8,0,0,0,0,0,1,20,5%   15%   35%   40%   0%,0,1,2022,392
CSS 465,Project Management,ENG,0,103,26,16,5,8,4,0,0,0,0,162,63.6%   16%   9.9%   3.1%   7.4%,1,1,2022,313
CSS 480,Industrial practice 3,ENG,0,213,1,32,36,0,22,0,0,0,0,304,70.1%   0.3%   10.5%   11.8%   7.2%,1,1,2022,20
CSS 502,Methods of Writing MSc Thesis,ENG,1,18,0,0,0,0,2,0,0,0,0,20,90%   0%   0%   0%   10%,0,1,2022,23
CSS 502,Methods of Writing MSc Thesis,ENG,1,0,4,3,1,0,2,0,0,0,0,10,0%   40%   30%   10%   20%,0,1,2022,39
CSS 503,Advanced Programming Technologies,ENG,1,21,35,0,0,0,0,0,0,0,0,56,37.5%   62.5%   0%   0%   0%,0,1,2022,23
CSS 503,Advanced Programming Technologies,ENG,1,10,6,4,5,0,3,0,0,0,0,28,35.7%   21.4%   14.3%   17.9%   10.7%,0,1,2022,33
CSS 507,"Data Сollection, Wrangling, Analysis and Visualization",ENG,1,1,3,5,0,0,1,0,0,0,1,11,9.1%   27.3%   45.5%   0%   9.1%,1,1,2022,12
CSS 514,Advanced Digital Design,ENG,0,1,2,2,0,0,12,0,0,0,4,21,4.8%   9.5%   9.5%   0%   57.1%,0,1,2022,31
CSS 516,Research Tools and Methods,ENG,1,6,5,0,0,0,13,0,0,0,0,24,25%   20.8%   0%   0%   54.2%,1,1,2022,29
CSS 516,Research Tools and Methods,ENG,0,2,1,0,0,0,5,0,0,0,0,8,25%   12.5%   0%   0%   62.5%,0,1,2022,393
CSS 516,Research Tools and Methods,ENG,1,3,4,6,1,0,8,0,0,0,2,24,12.5%   16.7%   25%   4.2%   33.3%,1,1,2022,17
CSS 516,Research Tools and Methods,ENG,1,4,9,3,0,0,8,0,0,0,0,24,16.7%   37.5%   12.5%   0%   33.3%,0,1,2022,36
CSS 518,RedHat - System Administration (I + II),ENG,0,6,7,5,1,0,12,0,0,0,9,40,15%   17.5%   12.5%   2.5%   30%,0,1,2022,35
CSS 526,Mathematics for Data Science,ENG,1,6,2,2,1,1,9,0,0,0,1,22,27.3%   9.1%   9.1%   4.5%   45.5%,0,1,2022,177
CSS 613,RedHat - System Administration (III + OpenStack),ENG,0,6,0,0,1,0,3,0,0,0,2,12,50%   0%   0%   8.3%   25%,0,1,2022,35
CSS 614,Introduction to High Performance Computing,ENG,1,6,3,0,0,0,6,0,0,0,2,17,35.3%   17.6%   0%   0%   35.3%,0,1,2022,394
CSS 615,Big Data Analytics,ENG,1,6,3,0,0,0,4,0,0,0,0,13,46.2%   23.1%   0%   0%   30.8%,0,1,2022,36
CSS 616,Advanced Cyber Security,ENG,0,15,1,0,0,0,4,0,0,0,0,20,75%   5%   0%   0%   20%,0,1,2022,395
CSS 619,Natural Language Processing,ENG,0,7,0,1,0,0,5,0,0,0,0,13,53.8%   0%   7.7%   0%   38.5%,0,1,2022,37
CSS 621,Computer Vision and Image Analysis,ENG,1,10,5,0,0,0,1,0,0,0,0,16,62.5%   31.3%   0%   0%   6.3%,0,1,2022,38
CSS 622,Data-driven decision making,ENG,1,8,2,1,0,0,4,0,0,0,0,15,53.3%   13.3%   6.7%   0%   26.7%,0,1,2022,396
CSS 623,Information Security,ENG,0,14,3,1,0,0,4,0,0,0,0,22,63.6%   13.6%   4.5%   0%   18.2%,0,1,2022,395
CSS 633,Machine Learning,ENG,1,2,5,0,0,0,1,0,0,0,0,8,25%   62.5%   0%   0%   12.5%,1,1,2022,29
CSS 634,Deep Learning,ENG,0,2,0,0,0,0,3,0,0,0,0,5,40%   0%   0%   0%   60%,0,1,2022,3
CSS 643,Advanced Application and Network Security,ENG,0,17,1,0,0,0,3,0,0,0,0,21,81%   4.8%   0%   0%   14.3%,0,1,2022,395
CSS 704,Research Methods,ENG,1,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,0,1,2022,39
CSS 706,Advanced Artificial Intelligence,ENG,1,0,1,0,0,0,0,0,0,0,0,1,0%   100%   0%   0%   0%,1,1,2022,29
CSS 707,IT in Education,ENG,1,1,0,0,0,0,0,0,0,0,0,1,100%   0%   0%   0%   0%,0,1,2022,396
CSS 890,Scientific & Research Practice,ENG,1,3,0,0,0,0,0,0,0,0,0,3,100%   0%   0%   0%   0%,1,1,2022,12
ECO 103,Mathematics for Economics,BS,0,18,28,15,13,11,47,0,0,0,3,135,13.3%   20.7%   11.1%   9.6%   43%,1,1,2022,397
ECO 103,Mathematics for Economics,BS,0,16,17,6,16,2,8,0,0,0,0,65,24.6%   26.2%   9.2%   24.6%   15.4%,0,1,2022,41
ECO 103,Mathematics for Economics,BS,0,10,4,9,2,2,2,0,0,0,0,29,34.5%   13.8%   31%   6.9%   13.8%,0,1,2022,42
ECO 109,Principles of Economics,BS,1,15,7,12,6,3,10,0,0,0,1,54,27.8%   13%   22.2%   11.1%   24.1%,1,1,2022,44
ECO 109,Principles of Economics,BS,0,32,11,13,11,8,10,0,0,0,1,86,37.2%   12.8%   15.1%   12.8%   20.9%,1,1,2022,398
ECO 109,Principles of Economics,BS,0,22,20,29,9,3,1,0,0,0,0,84,26.2%   23.8%   34.5%   10.7%   4.8%,1,1,2022,399
ECO 203,Statistics - I,BS,0,21,14,23,22,10,21,0,0,0,0,111,18.9%   12.6%   20.7%   19.8%   27.9%,1,1,2022,400
ECO 203,Statistics - I,BS,0,32,38,37,36,19,17,0,0,0,0,179,17.9%   21.2%   20.7%   20.1%   20.1%,1,1,2022,53
ECO 204,Public Finance,BS,1,0,5,4,1,0,0,0,0,0,0,10,0%   50%   40%   10%   0%,1,1,2022,401
ECO 205,Microeconomics (CFA),BS,0,5,18,20,13,4,10,0,0,0,3,73,6.8%   24.7%   27.4%   17.8%   19.2%,1,1,2022,50
ECO 215,Microeconomics CIMA,BS,0,19,22,23,14,1,4,0,0,0,0,83,22.9%   26.5%   27.7%   16.9%   6%,1,1,2022,399
ECO 215,Microeconomics CIMA,BS,0,5,19,22,41,11,36,0,0,0,0,134,3.7%   14.2%   16.4%   30.6%   35.1%,1,1,2022,402
ECO 302,Entrepreneurial Economics,BS,0,1,7,0,2,0,0,0,0,0,0,10,10%   70%   0%   20%   0%,0,1,2022,403
ECO 303,International Economics,BS,0,6,3,1,1,0,0,0,0,0,0,11,54.5%   27.3%   9.1%   9.1%   0%,0,1,2022,366
ECO 315,Introduction to Python,BS,0,35,31,18,12,3,15,0,0,0,1,115,30.4%   27%   15.7%   10.4%   15.7%,0,1,2022,54
ECO 315,Introduction to Python,BS,0,30,28,26,15,4,10,0,0,0,0,113,26.5%   24.8%   23%   13.3%   12.4%,1,1,2022,55
ECO 407,Environmental Economics,BS,0,0,1,1,1,0,0,0,0,0,0,3,0%   33.3%   33.3%   33.3%   0%,0,1,2022,42
ECO 503,Microeconomic analysis,BS,0,2,3,0,0,0,0,0,0,0,0,5,40%   60%   0%   0%   0%,1,1,2022,50
ECO 508,Corporate financial management,BS,1,7,4,0,0,0,1,0,0,0,0,12,58.3%   33.3%   0%   0%   8.3%,0,1,2022,49
ECO 509,Research Methods in Social Sciences,BS,1,2,8,1,1,0,2,0,0,0,0,14,14.3%   57.1%   7.1%   7.1%   14.3%,0,1,2022,151
ECO 514,Business research,BS,1,12,6,0,0,0,2,0,0,0,0,20,60%   30%   0%   0%   10%,1,1,2022,146
ECO 516,Corporate financial management,BS,1,0,7,0,0,0,1,0,0,0,0,8,0%   87.5%   0%   0%   12.5%,0,1,2022,49
ECO 517,Quality management (advanced level),BS,1,11,1,0,0,0,2,0,0,0,0,14,78.6%   7.1%   0%   0%   14.3%,1,1,2022,146
ECO 610,Corporate Financial management,BS,1,6,3,2,1,0,3,0,0,0,0,15,40%   20%   13.3%   6.7%   20%,0,1,2022,64
ECO 633,International business,BS,1,4,0,0,0,0,0,0,0,0,0,4,100%   0%   0%   0%   0%,0,1,2022,46
FFA 222,Fundamentals of Linguistics,PED,1,138,28,12,4,4,3,0,0,0,0,189,73%   14.8%   6.3%   2.1%   3.7%,1,1,2022,59
FFA 222,Fundamentals of Linguistics,PED,0,71,50,15,1,0,2,0,0,0,1,140,50.7%   35.7%   10.7%   0.7%   1.4%,0,1,2022,404
FFA 323,Fundamentals of editing,PED,0,6,1,3,2,1,1,0,0,0,0,14,42.9%   7.1%   21.4%   14.3%   14.3%,1,1,2022,287
FIN 303,Fundamentals of Financial Management,BS,0,10,14,21,19,16,30,0,0,0,2,112,8.9%   12.5%   18.8%   17%   41.1%,1,1,2022,405
FIN 303,Fundamentals of Financial Management,BS,0,10,27,19,11,5,8,0,0,0,0,80,12.5%   33.8%   23.8%   13.8%   16.3%,0,1,2022,366
FIN 307,Cost Accounting (ACCA),BS,0,6,21,30,39,7,15,0,0,0,0,118,5.1%   17.8%   25.4%   33.1%   18.6%,1,1,2022,65
FIN 308,Portfolio Management (CFA),BS,0,13,4,10,23,0,7,0,0,0,0,57,22.8%   7%   17.5%   40.4%   12.3%,0,1,2022,63
FIN 308,Portfolio Management (CFA),BS,1,5,17,24,8,2,4,0,0,0,0,60,8.3%   28.3%   40%   13.3%   10%,1,1,2022,401
FIN 317,Fixed Income Securities (CFA),BS,0,4,5,9,14,0,2,0,0,0,0,34,11.8%   14.7%   26.5%   41.2%   5.9%,0,1,2022,63
FIN 402,1 C Accounting,BS,1,5,11,7,5,0,3,0,0,0,0,31,16.1%   35.5%   22.6%   16.1%   9.7%,1,1,2022,1
FIN 405,Financial Management (ACCA),BS,0,61,9,6,0,0,1,0,0,0,0,77,79.2%   11.7%   7.8%   0%   1.3%,0,1,2022,338
FIN 527,Blockchain,BS,0,3,3,1,0,0,0,0,0,0,0,7,42.9%   42.9%   14.3%   0%   0%,0,1,2022,406
FIN 529,Applied Regression Analysis,BS,0,4,3,0,0,0,0,0,0,0,0,7,57.1%   42.9%   0%   0%   0%,0,1,2022,41
FPH 201,Highlights of Western Literature,PED,0,89,82,36,21,8,18,0,0,0,1,255,34.9%   32.2%   14.1%   8.2%   10.2%,0,1,2022,67
HPE 105,Ancient and medieval history of Kazakhstan,PED,1,3,9,3,0,0,0,0,0,0,0,15,20%   60%   20%   0%   0%,1,1,2022,68
HPE 113,Educational practice,LAW,0,4,10,1,1,0,0,0,0,0,0,16,25%   62.5%   6.3%   6.3%   0%,1,1,2022,407
HPE 113,Educational practice,PED,0,4,10,1,1,0,0,0,0,0,0,16,25%   62.5%   6.3%   6.3%   0%,1,1,2022,407
HPE 209,The new history of Kazakhstan,PED,0,8,3,1,0,0,0,0,0,0,0,12,66.7%   25%   8.3%   0%   0%,1,1,2022,408
HPE 211,Medieval history of Asia and Africa,PED,0,2,10,0,0,0,0,0,0,0,0,12,16.7%   83.3%   0%   0%   0%,1,1,2022,408
HPE 213,History of medieval Europe,PED,0,2,9,1,0,0,0,0,0,0,0,12,16.7%   75%   8.3%   0%   0%,0,1,2022,218
INF 106,Information and Communications Technologies (Computer Science),ENG,0,6,50,90,52,14,27,0,0,0,0,239,2.5%   20.9%   37.7%   21.8%   17.2%,1,1,2022,71
INF 106,Information and Communications Technologies (Computer Science),ENG,0,2,13,27,18,1,5,0,0,0,0,66,3%   19.7%   40.9%   27.3%   9.1%,0,1,2022,409
INF 106,Information and Communications Technologies (Computer Science),ENG,0,17,78,96,53,22,20,0,0,0,0,286,5.9%   27.3%   33.6%   18.5%   14.7%,1,1,2022,72
INF 137,Mathematics for Information Systems 1,ENG,0,2,21,51,44,31,23,0,0,0,1,173,1.2%   12.1%   29.5%   25.4%   31.2%,0,1,2022,410
INF 137,Mathematics for Information Systems 1,ENG,1,10,28,60,54,20,23,0,0,0,3,198,5.1%   14.1%   30.3%   27.3%   21.7%,0,1,2022,411
INF 202,Database Management Systems 1,ENG,0,43,106,86,36,6,45,0,0,0,2,324,13.3%   32.7%   26.5%   11.1%   15.7%,0,1,2022,412
INF 202,Database Management Systems 1,ENG,0,14,55,42,32,9,33,0,0,0,2,187,7.5%   29.4%   22.5%   17.1%   22.5%,1,1,2022,73
INF 228,UX/UI design,ENG,1,16,16,10,13,0,24,0,0,0,0,79,20.3%   20.3%   12.7%   16.5%   30.4%,1,1,2022,17
INF 228,UX/UI design,ENG,0,4,6,12,11,0,12,0,0,0,0,45,8.9%   13.3%   26.7%   24.4%   26.7%,0,1,2022,413
INF 231,Web programming: front end,ENG,0,25,10,10,1,0,1,0,0,0,0,47,53.2%   21.3%   21.3%   2.1%   2.1%,0,1,2022,21
INF 231,Web programming: front end,ENG,0,52,64,33,17,1,28,0,0,0,0,195,26.7%   32.8%   16.9%   8.7%   14.9%,0,1,2022,414
INF 231,Web programming: front end,ENG,0,14,31,19,5,0,18,0,0,0,2,89,15.7%   34.8%   21.3%   5.6%   20.2%,0,1,2022,10
INF 231,Web programming: front end,ENG,0,13,14,16,5,1,15,0,0,0,0,64,20.3%   21.9%   25%   7.8%   25%,0,1,2022,89
INF 231,Web programming: front end,ENG,0,16,46,30,14,2,19,0,0,0,0,127,12.6%   36.2%   23.6%   11%   16.5%,0,1,2022,31
INF 305,Database Management Systems 2,ENG,0,7,9,4,1,0,7,0,0,0,0,28,25%   32.1%   14.3%   3.6%   25%,0,1,2022,16
INF 312,Engineering and computer graphics,ENG,0,24,49,8,0,0,13,0,0,0,0,94,25.5%   52.1%   8.5%   0%   13.8%,0,1,2022,389
INF 314,Computer networks 2,ENG,0,11,5,1,1,0,12,0,0,0,4,34,32.4%   14.7%   2.9%   2.9%   35.3%,1,1,2022,75
INF 317,Python for data analysis,ENG,0,3,7,19,9,4,6,0,0,0,0,48,6.3%   14.6%   39.6%   18.8%   20.8%,0,1,2022,415
INF 318,Introduction to Testing,ENG,0,8,58,29,3,4,1,0,0,0,0,103,7.8%   56.3%   28.2%   2.9%   4.9%,0,1,2022,416
INF 322,Graphic Design,ENG,0,43,36,18,4,1,10,0,0,0,0,112,38.4%   32.1%   16.1%   3.6%   9.8%,1,1,2022,87
INF 323,Data analysis,ENG,0,44,34,12,4,1,4,0,0,0,0,99,44.4%   34.3%   12.1%   4%   5.1%,0,1,2022,415
INF 324,Computer vision,ENG,0,43,25,13,8,2,8,0,0,0,0,99,43.4%   25.3%   13.1%   8.1%   10.1%,0,1,2022,417
INF 325,Enterpreneurship in information systems,ENG,0,8,25,31,13,2,13,0,0,0,0,92,8.7%   27.2%   33.7%   14.1%   16.3%,0,1,2022,418
INF 326,Numerical Methods for Computer Science,ENG,0,4,3,0,3,0,0,0,0,0,0,10,40%   30%   0%   30%   0%,1,1,2022,11
INF 328,3D modeling,ENG,0,26,46,19,7,0,2,0,0,0,1,101,25.7%   45.5%   18.8%   6.9%   2%,1,1,2022,419
INF 345,Fundamentals of DevOps,ENG,0,12,35,14,7,0,12,0,0,0,0,80,15%   43.8%   17.5%   8.8%   15%,0,1,2022,420
INF 357,Introduction to Unity programming,ENG,0,15,19,24,17,2,4,0,0,0,2,83,18.1%   22.9%   28.9%   20.5%   7.2%,0,1,2022,28
INF 360,IT-law,ENG,0,3,12,27,18,3,27,0,0,0,0,90,3.3%   13.3%   30%   20%   33.3%,0,1,2022,138
INF 361,Information Theory,ENG,0,4,7,23,26,4,19,0,0,0,1,84,4.8%   8.3%   27.4%   31%   27.4%,1,1,2022,421
INF 369,Data visuallisation and storytelling,ENG,0,0,0,0,0,0,1,0,0,0,0,1,0%   0%   0%   0%   100%,0,1,2022,416
INF 376,Natural Language Processing,ENG,0,3,2,7,5,3,26,0,0,0,2,48,6.3%   4.2%   14.6%   10.4%   60.4%,0,1,2022,22
INF 415,Leadership in IT,ENG,0,7,20,16,8,3,14,0,0,0,0,68,10.3%   29.4%   23.5%   11.8%   25%,1,1,2022,27
INF 415,Leadership in IT,ENG,0,15,5,7,3,0,13,0,0,0,0,43,34.9%   11.6%   16.3%   7%   30.2%,0,1,2022,3
INF 421,Security in Computer Networks,ENG,0,6,3,2,4,0,11,0,0,0,0,26,23.1%   11.5%   7.7%   15.4%   42.3%,1,1,2022,75
INF 425,Wireless networks,ENG,0,12,11,7,2,0,5,0,0,0,0,37,32.4%   29.7%   18.9%   5.4%   13.5%,0,1,2022,420
INF 425,Wireless networks,ENG,0,4,8,18,10,0,6,0,0,0,0,46,8.7%   17.4%   39.1%   21.7%   13%,0,1,2022,422
INF 426,IT Asset Management,ENG,0,5,23,5,0,0,3,0,0,0,0,36,13.9%   63.9%   13.9%   0%   8.3%,0,1,2022,26
INF 427,Game Development 2,ENG,0,3,3,4,4,1,6,0,0,0,1,22,13.6%   13.6%   18.2%   18.2%   31.8%,0,1,2022,83
INF 428,Data Ethics and Applied Analitics,ENG,0,2,2,2,0,0,1,0,0,0,0,7,28.6%   28.6%   28.6%   0%   14.3%,0,1,2022,423
INF 429,IT Audit and controls,ENG,0,10,13,24,0,2,5,0,0,0,0,54,18.5%   24.1%   44.4%   0%   13%,0,1,2022,331
INF 433,ICT in Agriculture,ENG,1,16,35,0,1,0,2,0,0,0,0,54,29.6%   64.8%   0%   1.9%   3.7%,0,1,2022,424
INF 440,Digital Image Processing,ENG,1,2,3,4,1,0,8,0,0,0,0,18,11.1%   16.7%   22.2%   5.6%   44.4%,0,1,2022,38
INF 448,Big Data Analytics,ENG,0,3,0,2,2,0,3,0,0,0,0,10,30%   0%   20%   20%   30%,0,1,2022,423
IRN 105,Introduction to International Relations,LAW,1,12,15,18,29,6,3,0,0,0,0,83,14.5%   18.1%   21.7%   34.9%   10.8%,0,1,2022,95
IRN 111,Academic Writing,LAW,1,10,34,18,11,3,3,0,0,0,0,79,12.7%   43%   22.8%   13.9%   7.6%,0,1,2022,425
IRN 205,Foreign Policy Analysis,LAW,1,2,3,9,10,1,5,0,0,0,0,30,6.7%   10%   30%   33.3%   20%,1,1,2022,92
IRN 205,Foreign Policy Analysis,LAW,0,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,0,1,2022,94
IRN 209,International Relations Theories,LAW,1,21,16,8,13,5,6,0,0,0,0,69,30.4%   23.2%   11.6%   18.8%   15.9%,0,1,2022,95
IRN 211,Diplomatic and Consular Services,LAW,0,13,12,11,0,1,3,0,0,0,0,40,32.5%   30%   27.5%   0%   10%,1,1,2022,349
IRN 219,Introduction to Comparative Politics,LAW,1,12,1,3,11,9,14,0,0,0,0,50,24%   2%   6%   22%   46%,0,1,2022,98
IRN 220,Contemporary history of International Relations,LAW,1,12,15,13,14,3,8,0,0,0,0,65,18.5%   23.1%   20%   21.5%   16.9%,0,1,2022,95
IRN 320,Foreign Policy of Kazakhstan,LAW,0,11,9,7,5,6,7,0,0,0,0,45,24.4%   20%   15.6%   11.1%   28.9%,0,1,2022,94
IRN 325,Foreign Language of Specialization - I (French European),LAW,0,10,4,6,3,0,4,0,0,0,1,28,35.7%   14.3%   21.4%   10.7%   14.3%,1,1,2022,426
IRN 328,Research Methods,LAW,1,18,23,12,6,3,7,0,0,0,0,69,26.1%   33.3%   17.4%   8.7%   14.5%,0,1,2022,425
IRN 329,Foreign Language of Specialization - I (Asia Chineese),LAW,0,7,7,0,0,0,1,0,0,0,0,15,46.7%   46.7%   0%   0%   6.7%,0,1,2022,100
IRN 340,Emerging China and World affairs,LAW,1,1,7,10,6,0,7,0,0,0,0,31,3.2%   22.6%   32.3%   19.4%   22.6%,1,1,2022,92
IRN 340,Emerging China and World affairs,LAW,0,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,0,1,2022,94
IRN 346,Contemporary system of international relations,LAW,0,19,7,12,1,3,5,0,0,0,0,47,40.4%   14.9%   25.5%   2.1%   17%,1,1,2022,349
IRN 348,Techniques of Conducting Diplomatic Negotiations,LAW,1,13,0,1,16,1,15,0,0,0,0,46,28.3%   0%   2.2%   34.8%   34.8%,0,1,2022,98
IRN 355,International Security,LAW,1,1,6,10,7,2,5,0,0,0,0,31,3.2%   19.4%   32.3%   22.6%   22.6%,0,1,2022,427
IRN 355,International Security,LAW,0,2,0,0,0,0,0,0,0,0,0,2,100%   0%   0%   0%   0%,0,1,2022,94
IRN 404,Foreign Language of Specialization (Asia Chineese),LAW,0,3,6,0,0,0,2,0,0,0,0,11,27.3%   54.5%   0%   0%   18.2%,0,1,2022,100
